id,station_name,code,longitude,latitude,elevation,Date,Rainfall_avg,Temp_Max,Temp_Min,Thunderstrom
43486,RATNAPURA,5,80.4,6.68,,05/02/2016,15.9,34,23.8,NO
43486,RATNAPURA,5,80.4,6.68,,05/03/2016,26.3,35.4,23.8,NO
43486,RATNAPURA,5,80.4,6.68,,05/04/2016,0,35.2,24,NO
43486,RATNAPURA,5,80.4,6.68,,05/05/2016,10.9,35.3,24.3,NO
43486,RATNAPURA,5,80.4,6.68,,05/06/2016,18.4,32,24.4,NO
43486,RATNAPURA,5,80.4,6.68,,05/07/2016,4.7,32.1,23.4,NO
43486,RATNAPURA,5,80.4,6.68,,05/08/2016,13,34.4,24.1,NO
43486,RATNAPURA,5,80.4,6.68,,05/09/2016,13.3,33.8,23.8,NO
43486,RATNAPURA,5,80.4,6.68,,05/10/2016,5.6,32.5,23.4,NO
43486,RATNAPURA,5,80.4,6.68,,05/11/2016,59.6,31.3,23.9,NO
43486,RATNAPURA,5,80.4,6.68,,05/12/2016,23.8,31.3,23.7,NO
43486,RATNAPURA,5,80.4,6.68,,5/13/2016,31.8,30.2,23.5,NO
43486,RATNAPURA,5,80.4,6.68,,5/14/2016,35,31.3,23.9,NO
43486,RATNAPURA,5,80.4,6.68,,5/15/2016,136,25.1,23.8,NO
43486,RATNAPURA,5,80.4,6.68,,5/16/2016,63.1,25.9,22.6,NO
43486,RATNAPURA,5,80.4,6.68,,5/17/2016,47.7,29.3,23.9,NO
43486,RATNAPURA,5,80.4,6.68,,5/18/2016,8.8,31.3,24.4,NO
43486,RATNAPURA,5,80.4,6.68,,5/19/2016,64.1,30.8,24.2,NO
43486,RATNAPURA,5,80.4,6.68,,5/20/2016,4.5,29.9,24.2,NO
43486,RATNAPURA,5,80.4,6.68,,5/21/2016,14.7,30.6,24.6,NO
43486,RATNAPURA,5,80.4,6.68,,5/22/2016,2.2,32.3,25.3,NO
43486,RATNAPURA,5,80.4,6.68,,5/23/2016,19.7,30.8,24.8,NO
43486,RATNAPURA,5,80.4,6.68,,5/24/2016,15.6,31.1,25.3,NO
43486,RATNAPURA,5,80.4,6.68,,5/25/2016,17.5,31.3,24.8,NO
43486,RATNAPURA,5,80.4,6.68,,5/26/2016,2.6,32.3,24,NO
43486,RATNAPURA,5,80.4,6.68,,5/27/2016,73.5,26.3,25.2,NO
43486,RATNAPURA,5,80.4,6.68,,5/28/2016,11.1,29.3,23,NO
43486,RATNAPURA,5,80.4,6.68,,5/29/2016,2.5,29.7,22.7,NO
43486,RATNAPURA,5,80.4,6.68,,5/30/2016,44.8,31,23.9,NO
43486,RATNAPURA,5,80.4,6.68,,5/31/2016,15.6,29.6,23.7,NO
43486,RATNAPURA,5,80.4,6.68,,06/01/2016,3.9,32.1,24,NO
43486,RATNAPURA,5,80.4,6.68,,06/02/2016,5.1,32,23.8,NO
43486,RATNAPURA,5,80.4,6.68,,06/03/2016,18,32.1,25,NO
43486,RATNAPURA,5,80.4,6.68,,06/04/2016,5.4,30.5,24.5,NO
43486,RATNAPURA,5,80.4,6.68,,06/05/2016,1.1,32.2,25,NO
43486,RATNAPURA,5,80.4,6.68,,06/06/2016,0.1,32.4,25,NO
43486,RATNAPURA,5,80.4,6.68,,06/07/2016,25.9,31.6,23.9,NO
43486,RATNAPURA,5,80.4,6.68,,06/08/2016,11.2,30.6,23.3,NO
43486,RATNAPURA,5,80.4,6.68,,06/09/2016,20.6,31.1,23.7,NO
43486,RATNAPURA,5,80.4,6.68,,06/10/2016,16.2,30.5,23.5,NO
43486,RATNAPURA,5,80.4,6.68,,06/11/2016,4,31,23.9,NO
43486,RATNAPURA,5,80.4,6.68,,06/12/2016,26.2,31,24,NO
43486,RATNAPURA,5,80.4,6.68,,6/13/2016,5.1,30.4,23.7,NO
43486,RATNAPURA,5,80.4,6.68,,6/14/2016,1.2,31.6,24.6,NO
43486,RATNAPURA,5,80.4,6.68,,6/15/2016,0,31.2,25.2,NO
43486,RATNAPURA,5,80.4,6.68,,6/16/2016,0,30.8,25.8,NO
43486,RATNAPURA,5,80.4,6.68,,6/17/2016,11.4,30.9,26.1,NO
43486,RATNAPURA,5,80.4,6.68,,6/18/2016,3.4,30.5,25.1,NO
43486,RATNAPURA,5,80.4,6.68,,6/19/2016,6.4,29.9,24.5,NO
43486,RATNAPURA,5,80.4,6.68,,6/20/2016,37.8,30.9,23.9,NO
43486,RATNAPURA,5,80.4,6.68,,6/21/2016,2.4,30.9,22.7,NO
43486,RATNAPURA,5,80.4,6.68,,6/22/2016,0,31.1,24.9,NO
43486,RATNAPURA,5,80.4,6.68,,6/23/2016,0,30.6,25.7,NO
43486,RATNAPURA,5,80.4,6.68,,6/24/2016,0,30.8,25.7,NO
43486,RATNAPURA,5,80.4,6.68,,6/25/2016,0,32,26.1,NO
43486,RATNAPURA,5,80.4,6.68,,6/26/2016,0,31.3,25.6,NO
43486,RATNAPURA,5,80.4,6.68,,6/27/2016,11.6,31.3,25.5,NO
43486,RATNAPURA,5,80.4,6.68,,6/28/2016,1.5,30.4,24.5,NO
43486,RATNAPURA,5,80.4,6.68,,6/29/2016,0.3,31.5,24.8,NO
43486,RATNAPURA,5,80.4,6.68,,6/30/2016,1.6,31.9,25.2,NO
43486,RATNAPURA,5,80.4,6.68,,07/01/2016,0,31.3,25.2,NO
43486,RATNAPURA,5,80.4,6.68,,07/02/2016,0,33.2,26.4,NO
43486,RATNAPURA,5,80.4,6.68,,07/03/2016,0.4,34.6,25,NO
43486,RATNAPURA,5,80.4,6.68,,07/04/2016,0,32.9,25,NO
43486,RATNAPURA,5,80.4,6.68,,07/05/2016,0,32.8,25.4,NO
43486,RATNAPURA,5,80.4,6.68,,07/06/2016,0,33.5,24.2,NO
43486,RATNAPURA,5,80.4,6.68,,07/07/2016,0,33.6,24.1,NO
43486,RATNAPURA,5,80.4,6.68,,07/08/2016,0.8,32.5,25.4,NO
43486,RATNAPURA,5,80.4,6.68,,07/09/2016,1.5,31.3,25.1,NO
43486,RATNAPURA,5,80.4,6.68,,07/10/2016,4.3,31.4,24.6,NO
